Player,"Tm","Year","WS","VORP"
Kevin Henderson,"TOT",1987,-0.2,-0.2
Conner Henry,"TOT",1987,0.4,-0.1
Rod Higgins,"GSW",1987,5.7,1.6
Roy Hinson,"TOT",1987,4.5,0.8
Craig Hodges,"TOT",1987,2.4,0
Mike Holton,"POR",1987,2.3,0
Dave Hoppen,"TOT",1987,0.8,-0.3
Dennis Hopson,"NJN",1987,-0.3,-0.7
Jeff Hornacek,"PHO",1987,5,1.3
Phil Hubbard,"CLE",1987,2.7,0
Eddie Hughes,"UTA",1987,0,0
Jay Humphries,"TOT",1987,3.5,0.7
Marc Iavaroni,"UTA",1987,1.7,0
Mark Jackson,"NYK",1987,7.6,3.9
Michael Jackson,"SAC",1987,-0.2,-1
Buck Johnson,"HOU",1987,2.1,0.4
Clemon Johnson,"SEA",1987,0.9,-0.2
Dennis Johnson,"BOS",1987,5,0.8
Eddie Johnson2,"PHO",1987,3,0
Frank Johnson,"WSB",1987,1.6,0.2
Kannard Johnson,"CLE",1987,-0.1,0
Kevin Johnson,"TOT",1987,4,0.6
Magic Johnson,"LAL",1987,10.9,4.9
Steve Johnson,"POR",1987,1.3,-0.3
Vinnie Johnson,"DET",1987,2.3,0.3
Caldwell Jones,"POR",1987,2.7,0.6
Charles Jones2,"POR",1987,0.1,-0.2
Charles Jones1,"WSB",1987,2.2,1.3
Michael Jordan,"CHI",1987,21.2,11.8
Jerome Kersey,"POR",1987,8.6,3.4
Albert King,"PHI",1987,-0.1,-1
Bernard King,"WSB",1987,2.8,0.7
Greg Kite,"TOT",1987,0.3,-0.3
Joe Kleine,"SAC",1987,3.1,-0.3
Bart Kofoed,"UTA",1987,-0.1,-0.2
Jon Koncak,"ATL",1987,2.3,0.5
Larry Krystkowiak,"MIL",1987,2.1,0.1
Bill Laimbeer,"DET",1987,8.8,3.3
Jeff Lamp,"LAL",1987,0,0
Allen Leavell,"HOU",1987,5.1,0.9
Fat Lever,"DEN",1987,10.4,6.2
Cliff Levingston,"ATL",1987,7,2.6
Ralph Lewis,"DET",1987,-0.1,-0.3
Reggie Lewis,"BOS",1987,0.4,-0.2
Alton Lister,"SEA",1987,4.1,0.8
Brad Lohaus,"BOS",1987,0.9,0
John Long,"IND",1987,3.9,0.8
John Lucas,"MIL",1987,3.9,0.9
Maurice Lucas,"POR",1987,2.3,0
Rick Mahorn,"DET",1987,5.9,1.5
Jeff Malone,"WSB",1987,5.6,0.5
Karl Malone,"UTA",1987,10.1,3.7
Moses Malone,"WSB",1987,9.2,2.6
Pace Mannion,"MIL",1987,0.3,-0.2
Bill Martin,"PHO",1987,-0.2,-0.2
Maurice Martin,"DEN",1987,0,-0.1
Wes Matthews,"LAL",1987,0.8,-0.3
Cedric Maxwell,"HOU",1987,2,0.2
Tim McCormick,"TOT",1987,3.9,0.6
Rodney McCray,"HOU",1987,7.6,3.1
Xavier McDaniel,"SEA",1987,6.2,2.6
Ben McDonald,"GSW",1987,1.3,-0.4
Mike McGee,"TOT",1987,1.1,0.2
Kevin McHale,"BOS",1987,10.2,3.7
Kevin McKenna,"NJN",1987,0.5,-0.1
Derrick McKey,"SEA",1987,4.1,1.2
Nate McMillan,"SEA",1987,6.5,2.7
Mark McNamara,"PHI",1987,0.6,-0.4
Chris McNealy,"NYK",1987,0.2,0
Reggie Miller,"IND",1987,4.2,1.2
Dirk Minniefield,"TOT",1987,1.1,-0.3
Mike Mitchell,"SAS",1987,2.4,-1.1
Paul Mokeski,"MIL",1987,1.3,-0.2
Sidney Moncrief,"MIL",1987,3.7,1
Andre Moore,"TOT",1987,0,0
Johnny Moore,"TOT",1987,-0.1,-0.1
Ron Moore,"TOT",1987,-0.1,-0.1
Chris Mullin,"GSW",1987,5.1,2.2
Jay Murphy,"WSB",1987,-0.1,-0.1
Ronnie Murphy,"POR",1987,-0.2,-0.2
Tod Murphy,"LAC",1987,0.1,0
Pete Myers,"SAS",1987,-0.1,-0.2
Larry Nance,"TOT",1987,8,3.6
Calvin Natt,"DEN",1987,1.1,0
Ed Nealy,"SAS",1987,1.2,0
Martin Nessley,"TOT",1987,-0.1,-0.4
Chuck Nevitt,"DET",1987,0,-0.1
Johnny Newman,"NYK",1987,3.1,0.2
Kurt Nimphius,"SAS",1987,1,-0.1
Ken Norman,"LAC",1987,0.6,-0.4
Mike OKoren,"NJN",1987,0.1,0
Charles Oakley,"CHI",1987,6.7,2.3
Hakeem Olajuwon,"HOU",1987,10.7,5
Jawann Oldham,"SAC",1987,1.2,-0.1
Louis Orr,"NYK",1987,-0.2,-0.2
Robert Parish,"BOS",1987,6.4,2
Jim Paxson,"TOT",1987,1.2,-0.3
John Paxson,"CHI",1987,4.2,-0.4
Sam Perkins,"DAL",1987,6.7,1.6
Chuck Person,"IND",1987,3.3,1.9
Jim Petersen,"HOU",1987,3.4,0.8
Michael Phelps,"LAC",1987,0.1,0
Ricky Pierce,"MIL",1987,2.2,0.1
Ed Pinckney,"SAC",1987,2.3,0.2
Scottie Pippen,"CHI",1987,2.3,0.9
Olden Polynice,"SEA",1987,1.6,-0.4
Terry Porter,"POR",1987,9.8,3.4
Paul Pressey,"MIL",1987,7.1,3.4
Harold Pressley,"SAC",1987,2.2,1.1
Mark Price,"CLE",1987,7.8,2.1
Kurt Rambis,"LAL",1987,2.6,0.7
Blair Rasmussen,"DEN",1987,4.2,-0.2
Robert Reid,"HOU",1987,1.7,-0.1
Richard Rellford,"SAS",1987,0,0
Jerry Reynolds,"MIL",1987,1.3,0.5
Doc Rivers,"ATL",1987,8.3,4.3
Fred Roberts,"BOS",1987,1.9,-0.2
Alvin Robertson,"SAS",1987,5.8,4.5
Cliff Robinson,"PHI",1987,2.6,0.2
Dennis Rodman,"DET",1987,6.8,2.9
Johnny Rogers,"CLE",1987,0,-0.3
Tree Rollins,"ATL",1987,4.1,1.2
Scott Roth,"UTA",1987,0.3,0
Brian Rowsom,"IND",1987,0,0
Walker Russell,"DET",1987,0,0
John Salley,"DET",1987,6.2,2.9
Ralph Sampson,"TOT",1987,0.6,0.1
Mike Sanders,"TOT",1987,1.2,-0.2
Danny Schayes,"DEN",1987,8.8,1.9
Russ Schoene,"SEA",1987,1.8,-0.1
Detlef Schrempf,"DAL",1987,3.6,0.7
Byron Scott,"LAL",1987,10.7,4.4
Carey Scurry,"TOT",1987,0.9,0.7
Brad Sellers,"CHI",1987,3.3,-0.1
Purvis Short,"HOU",1987,4.4,0.3
Jerry Sichting,"TOT",1987,1.5,-0.1
Jack Sikma,"MIL",1987,9.4,4.1
Scott Skiles,"IND",1987,0.3,-0.7
Derek Smith,"SAC",1987,1.5,0.1
Kenny Smith,"SAC",1987,2.2,-0.2
Larry Smith,"GSW",1987,0.3,-0.1
Otis Smith,"TOT",1987,3.6,1.5
Mike Smrek,"LAL",1987,0.4,-0.3
Rory Sparrow,"TOT",1987,0.5,-0.8
Steve Stipanovich,"IND",1987,6.9,2.5
John Stockton,"UTA",1987,14.1,4.3
John Stroeder,"MIL",1987,-0.1,-0.2
Jon Sundvold,"SAS",1987,1,-0.8
Roy Tarpley,"DAL",1987,7.8,2
Terry Teagle,"GSW",1987,-0.2,-1.1
Reggie Theus,"SAC",1987,3.7,0.6
Isiah Thomas,"DET",1987,7.6,3.3
Bernard Thompson,"PHO",1987,0.9,0
Billy Thompson,"LAL",1987,-0.1,-0.1
LaSalle Thompson,"SAC",1987,1.9,0.2
Mychal Thompson,"LAL",1987,4.6,0.2
Bob Thornton,"TOT",1987,0.4,-0.4
Otis Thorpe,"SAC",1987,8.1,3.1
Sedale Threatt,"TOT",1987,2.7,0.3
Wayman Tisdale,"IND",1987,5.7,0.8
Ray Tolbert,"TOT",1987,0.3,-0.1
Andrew Toney,"PHI",1987,0.5,-0.3
Sedric Toney,"NYK",1987,0.3,0
Kelly Tripucka,"UTA",1987,1.7,0.4
Trent Tucker,"NYK",1987,2.9,0.6
Andre Turner,"HOU",1987,0,-0.1
Elston Turner,"CHI",1987,-0.2,-0.1
Melvin Turpin,"UTA",1987,2.1,0.2
Terry Tyler,"SAC",1987,1.2,-0.2
Darnell Valentine,"LAC",1987,1.5,-0.1
Kiki Vandeweghe,"POR",1987,3.8,0.5
Jay Vincent,"DEN",1987,2.8,-0.5
Sam Vincent,"TOT",1987,3.3,0.1
Danny Vranes,"PHI",1987,0.6,0.1
Mark Wade,"GSW",1987,-0.3,-0.2
Milt Wagner,"LAL",1987,0.4,-0.4
Granville Waiters,"CHI",1987,0,-0.1
Darrell Walker,"WSB",1987,0.8,0.3
Kenny Walker,"NYK",1987,4.7,1.1
Jamie Waller,"NJN",1987,-0.2,-0.2
Chris Washburn,"TOT",1987,0.2,-0.3
Duane Washington,"NJN",1987,0.4,0.1
Kermit Washington,"GSW",1987,0.1,0
Pearl Washington,"NJN",1987,0.7,0
Spud Webb,"ATL",1987,2.3,0.2
Chris Welp,"PHI",1987,0.3,0
Bill Wennington,"DAL",1987,0.4,0
Mark West,"TOT",1987,3.1,0.5
Ennis Whatley,"ATL",1987,0,0
Clinton Wheeler,"IND",1987,0.4,-0.2
Eric White,"LAC",1987,0.8,-0.1
Tony White,"TOT",1987,-0.3,-0.8
Jerome Whitehead,"GSW",1987,1.6,-0.6
Dominique Wilkins,"ATL",1987,9.8,3.7
Gerald Wilkins,"NYK",1987,3.4,0.9
Buck Williams,"NJN",1987,7.6,2.2
Herb Williams,"IND",1987,1.8,-0.1
Hot Rod Williams,"CLE",1987,5.7,1.6
John Williams,"WSB",1987,5,2.5
Kevin Williams,"SEA",1987,1.9,0
Reggie Williams,"LAC",1987,-1.1,-0.7
Kevin Willis,"ATL",1987,4.2,0.4
Nikita Wilson,"POR",1987,-0.1,-0.2
Ricky Wilson,"TOT",1987,0.3,-0.2
David Wingate,"PHI",1987,-0.5,-1.1
Rickie Winslow,"MIL",1987,-0.2,-0.1
Randy Wittman,"ATL",1987,3.5,0.4
Joe Wolf,"LAC",1987,0.1,-0.4
Leon Wood,"TOT",1987,2.2,0
Mike Woodson,"LAC",1987,3.1,0.3
Orlando Woolridge,"NJN",1987,0.8,0.1
James Worthy,"LAL",1987,7.9,2.7
Brad Wright,"DEN",1987,-0.1,-0.1
Danny Young,"SEA",1987,2.4,0
Phil Zevenbergen,"SAS",1987,0,0
Kareem Abdul-Jabbar,"LAL",1988,2.9,-0.1
Mark Acres,"BOS",1988,0.9,-0.1
Michael Adams,"DEN",1988,8.3,3.7
Mark Aguirre,"TOT",1988,4.5,1.7
Danny Ainge,"TOT",1988,6.7,2.6
Mark Alarie,"WSB",1988,2.2,0.1
Steve Alford,"TOT",1988,1.4,-0.3
Randy Allen,"SAC",1988,0,-0.1
Greg Anderson,"SAS",1988,3.4,-0.3
Michael Anderson,"SAS",1988,0.2,-0.3
Richard Anderson,"POR",1988,2.1,0.4
Ron Anderson,"PHI",1988,4.4,0.7
Willie Anderson,"SAS",1988,4.9,2.4
John Bagley,"NJN",1988,0.4,-0.8
Thurl Bailey,"UTA",1988,6.5,0.8
Greg Ballard,"SEA",1988,0,-0.1
Ken Bannister,"LAC",1988,0.4,-0.1
Charles Barkley,"PHI",1988,16.1,9.2
John Battle,"ATL",1988,3.2,-0.2
Benoit Benjamin,"LAC",1988,5.1,1.5
Ricky Berry,"SAC",1988,2.4,0.1
Walter Berry,"TOT",1988,2.4,0
Larry Bird,"BOS",1988,0.5,0.1
Otis Birdsong,"BOS",1988,-0.1,-0.1
Uwe Blab,"DAL",1988,0.3,-0.1
Rolando Blackman,"DAL",1988,5.7,1
Muggsy Bogues,"CHH",1988,2.6,-0.5
Manute Bol,"GSW",1988,1.7,0.4
Anthony Bowie,"SAS",1988,0.5,-0.1
Sam Bowie,"POR",1988,0.5,0.1
Dudley Bradley,"ATL",1988,0,-0.1
Adrian Branch,"POR",1988,1.5,-0.1
Randy Breuer,"MIL",1988,0.9,0
Frank Brickowski,"SAS",1988,3.6,1.1
Scott Brooks,"PHI",1988,2.9,0.2
Mike Brown,"UTA",1988,1.4,-0.2
Tony Brown,"TOT",1988,0.5,0
Mark Bryant,"POR",1988,1.1,-0.4
Greg Butler,"NYK",1988,-0.1,-0.3
Michael Cage,"SEA",1988,6.7,2.3
Tony Campbell,"LAL",1988,1.1,-0.3
Antoine Carr,"ATL",1988,3.3,0.6
Joe Barry Carroll,"NJN",1988,2.3,0.3
Bill Cartwright,"CHI",1988,2.1,-1.7
Terry Catledge,"WSB",1988,3.3,0
Ron Cavenall,"NJN",1988,0,0
Tom Chambers,"PHO",1988,9.2,2.4
Mike Champion,"SEA",1988,-0.1,0
Rex Chapman,"CHH",1988,-0.2,-0.7
Maurice Cheeks,"PHI",1988,5.3,1.1
Derrick Chievous,"HOU",1988,1.6,-0.7
Ben Coleman,"PHI",1988,0.8,-0.7
Steve Colter,"WSB",1988,3.1,0.7
Dallas Comegys,"SAS",1988,1.4,-0.3
Lester Conner,"NJN",1988,6.2,2.8
Darwin Cook,"TOT",1988,0.9,-0.4
Michael Cooper,"LAL",1988,4.4,1.2
Wayne Cooper,"DEN",1988,5,1.4
Tyrone Corbin,"PHO",1988,5.4,2.3
Dave Corzine,"CHI",1988,1.4,-0.5
Winston Crite,"PHO",1988,-0.1,0
Pat Cummings,"MIA",1988,0.6,-0.7
Terry Cummings,"MIL",1988,7.7,2.6
Earl Cureton,"CHH",1988,1.5,0.8
Dell Curry,"CHH",1988,0.9,0.1
Quintin Dailey,"LAC",1988,2,-0.3
Adrian Dantley,"TOT",1988,7.4,1.4
Brad Daugherty,"CLE",1988,9.6,3.3
Brad Davis,"DAL",1988,2.7,0
Charles Davis,"CHI",1988,0.5,-0.4
Mark Davis,"TOT",1988,0.7,0.1
Walter Davis,"DEN",1988,3.5,-0.2
Darryl Dawkins,"DET",1988,0,-0.1
Johnny Dawkins,"SAS",1988,1,-0.2
Vinny Del Negro,"SAC",1988,2.5,0.1
Fennis Dembo,"DET",1988,-0.1,-0.1
James Donaldson,"DAL",1988,4.4,0.7
Greg Dreiling,"IND",1988,0.4,-0.2
Clyde Drexler,"POR",1988,12.6,7.2
Kevin Duckworth,"POR",1988,4.8,-1.1
Chris Dudley,"CLE",1988,0.1,-0.5
Joe Dumars,"DET",1988,7,1.9
Mike Dunleavy,"MIL",1988,0,0
T.R. Dunn,"PHO",1988,0.6,0.2
Ledell Eackles,"WSB",1988,2.1,-0.4
Mark Eaton,"UTA",1988,6.6,3.7
James Edwards,"DET",1988,2.8,-0.1
Kevin Edwards,"MIA",1988,-0.2,-0.1
Craig Ehlo,"CLE",1988,4.6,2
Dale Ellis,"SEA",1988,10.8,3.3
Wayne Englestad,"DEN",1988,0,0
Alex English,"DEN",1988,6.8,1.3
Patrick Ewing,"NYK",1988,10.9,4.9
Jim Farmer,"UTA",1988,0.4,-0.2
Dave Feitl,"WSB",1988,0.4,-0.6
Rolando Ferreira,"POR",1988,-0.2,-0.2
Duane Ferrell,"ATL",1988,0.4,-0.1
Vern Fleming,"IND",1988,5.6,1.8
Sleepy Floyd,"HOU",1988,7.7,2.5
Tellis Frank,"GSW",1988,0.1,-0.2
Anthony Frederick,"IND",1988,0.2,-0.1
Corey Gaines,"NJN",1988,0.2,-0.4
Kevin Gamble,"BOS",1988,1,0
Winston Garland,"GSW",1988,4.5,1.4
Tom Garrick,"LAC",1988,1.4,-0.4
Kenny Gattison,"PHO",1988,0,0
Ben Gillery,"SAC",1988,0,-0.1
Armen Gilliam,"PHO",1988,5.1,-0.1
Mike Gminski,"PHI",1988,7,1.2
Grant Gondrezick,"LAC",1988,0.2,-0.1
Orlando Graham,"GSW",1988,0,-0.1
Ron Grandison,"BOS",1988,0.6,-0.1
Gary Grant,"LAC",1988,-0.4,0
Harvey Grant,"WSB",1988,1.7,0.1
Horace Grant,"CHI",1988,6.4,2.2
Stuart Gray,"IND",1988,0.9,-0.3
Sylvester Gray,"MIA",1988,0.7,0
Jeff Grayer,"MIL",1988,0.2,0
A.C. Green,"LAL",1988,9.4,2.7
Rickey Green,"TOT",1988,1.2,-0.3
Sidney Green,"NYK",1988,2,-0.1
Dave Greenwood,"TOT",1988,2.2,0.1
Darrell Griffith,"UTA",1988,3.9,0.7
Petur Gudmundsson,"SAS",1988,-0.1,-0.1
Jack Haley,"CHI",1988,0.4,-0.3
Bob Hansen,"UTA",1988,1.7,0.3
Bill Hanzlik,"DEN",1988,0.7,-0.3
Derek Harper,"DAL",1988,8,3.6
Ron Harper,"CLE",1988,10.2,5.2
Steve Harris,"DET",1988,0,0
Scott Hastings,"MIA",1988,1.5,-0.3
Hersey Hawkins,"PHI",1988,4,1.5
Gerald Henderson,"PHI",1988,1.1,-0.2
Rod Higgins,"GSW",1988,5.9,1.2
Roy Hinson,"NJN",1988,4.4,-0.4
Craig Hodges,"TOT",1988,2.9,0.5
Mike Holton,"CHH",1988,1.3,-0.9
Dave Hoppen,"CHH",1988,2.6,0
Dennis Hopson,"NJN",1988,1.7,0
Tito Horford,"MIL",1988,-0.3,-0.3
Jeff Hornacek,"PHO",1988,7.7,3.3
Phil Hubbard,"CLE",1988,0.4,-0.1
Eddie Hughes,"DEN",1988,0.4,0
Jay Humphries,"MIL",1988,4.9,1.9
Marc Iavaroni,"UTA",1988,0.6,-0.4
Mark Jackson,"NYK",1988,7.2,3.3
Michael Jackson,"SAC",1988,0,-0.1
Avery Johnson,"SEA",1988,0.3,-0.1
Buck Johnson,"HOU",1988,3.6,1.1
Dennis Johnson,"BOS",1988,2.5,0
Eddie Johnson2,"PHO",1988,6.5,1.7
Frank Johnson,"HOU",1988,0.6,-0.6
Kevin Johnson,"PHO",1988,12.2,4.5
Magic Johnson,"LAL",1988,16.1,8.2
Steve Johnson,"POR",1988,1.7,-0.3
Vinnie Johnson,"DET",1988,5.9,1.8
Anthony Jones,"TOT",1988,0.3,0
Bill Jones,"NJN",1988,0.6,0.1
Caldwell Jones,"POR",1988,0.8,-0.1
Charles Jones2,"WSB",1988,0.9,0.1
Charles Jones1,"WSB",1988,1.6,0.7
Shelton Jones,"TOT",1988,0.3,-0.4
Michael Jordan,"CHI",1988,19.8,12
Tim Kempton,"CHH",1988,1,-0.1
Steve Kerr,"PHO",1988,0.4,0.1
Jerome Kersey,"POR",1988,6.8,3
Randolph Keys,"CLE",1988,0.3,-0.3
Albert King,"SAS",1988,0,-0.6
Bernard King,"WSB",1988,4.9,1.4
Greg Kite,"TOT",1988,0.1,-0.4
Joe Kleine,"TOT",1988,1,-0.9
Bart Kofoed,"UTA",1988,0,-0.1
Jon Koncak,"ATL",1988,3.7,1.5
Larry Krystkowiak,"MIL",1988,6.3,1.3
Bill Laimbeer,"DET",1988,9,3.4
Jeff Lamp,"LAL",1988,-0.1,-0.2
Jerome Lane,"DEN",1988,0.1,-0.2
Andrew Lang,"PHO",1988,1.4,0.2
Allen Leavell,"HOU",1988,-0.1,-0.6
Eric Leckner,"UTA",1988,1.5,-0.5
Keith Lee,"NJN",1988,0.8,-0.4
Jim Les,"UTA",1988,0.3,-0.8
Fat Lever,"DEN",1988,9.2,5.3
Cliff Levingston,"ATL",1988,5.5,2.2
Ralph Lewis,"CHH",1988,0,-0.2
Reggie Lewis,"BOS",1988,6.9,2.2
Alton Lister,"SEA",1988,3.7,0.7
Rob Lock,"LAC",1988,-0.2,-0.2
Brad Lohaus,"TOT",1988,0.9,-0.6
Grant Long,"MIA",1988,4.6,1.8
John Long,"TOT",1988,0.2,-0.8
Sidney Lowe,"CHH",1988,0.5,-0.1
John Lucas,"SEA",1988,1.9,0.1
Rick Mahorn,"DET",1988,4.6,1.3
Dan Majerle,"PHO",1988,2.5,1.1
Jeff Malone,"WSB",1988,4.1,-0.3
Karl Malone,"UTA",1988,15.2,6.5
Moses Malone,"ATL",1988,10.7,3
Danny Manning,"LAC",1988,0.7,0.4
Pace Mannion,"TOT",1988,0,0
Vernon Maxwell,"SAS",1988,1.5,-0.7
Tim McCormick,"HOU",1988,2,-0.4
Rodney McCray,"SAC",1988,2.9,1.2
Xavier McDaniel,"SEA",1988,5.3,0.3
Ben McDonald,"GSW",1988,0.3,0
Mike McGee,"NJN",1988,2.3,0.4
Kevin McHale,"BOS",1988,10.1,3
Derrick McKey,"SEA",1988,7.4,3
Nate McMillan,"SEA",1988,4.4,2.4
Mark McNamara,"LAL",1988,0.7,-0.2
Reggie Miller,"IND",1988,6.5,2.8
Todd Mitchell,"TOT",1988,-0.1,-0.3
Paul Mokeski,"MIL",1988,1,0.1
Sidney Moncrief,"MIL",1988,5,1.4
Chris Morris,"NJN",1988,2.8,1.4
Richard Morton,"IND",1988,0,0
Chris Mullin,"GSW",1988,10.6,4.4
Pete Myers,"TOT",1988,0.5,0
Larry Nance,"CLE",1988,10.3,3.8
Calvin Natt,"TOT",1988,0.3,-0.4
Craig Neal,"TOT",1988,-0.3,-0.8
Ed Nealy,"TOT",1988,0.4,-0.1
Chuck Nevitt,"HOU",1988,0.1,-0.2
Johnny Newman,"NYK",1988,6.7,1.8
Norm Nixon,"LAC",1988,-0.4,-1.9
Ken Norman,"LAC",1988,4,2
Charles Oakley,"NYK",1988,5.7,2.3
Hakeem Olajuwon,"HOU",1988,12.4,5.6
Jose Ortiz,"UTA",1988,-0.1,-0.4
Robert Parish,"BOS",1988,10.5,4.5
Jim Paxson,"BOS",1988,1.3,-0.6
John Paxson,"CHI",1988,3.3,-0.6
Will Perdue,"CHI",1988,-0.1,-0.3
Sam Perkins,"DAL",1988,6.4,1.8
Tim Perry,"PHO",1988,1.4,0.2
Chuck Person,"IND",1988,3,1.5
Jim Petersen,"SAC",1988,0.6,-0.6
Ricky Pierce,"MIL",1988,6.7,1.5
Ed Pinckney,"TOT",1988,6.1,1.8
Scottie Pippen,"CHI",1988,4,2.1
Olden Polynice,"SEA",1988,1.5,0.2
Dave Popson,"TOT",1988,-0.1,-0.2
Terry Porter,"POR",1988,9.2,3.3
Paul Pressey,"MIL",1988,4.8,2.3
Dominic Pressley,"TOT",1988,-0.2,-0.2
Harold Pressley,"SAC",1988,4.8,2.7
Mark Price,"CLE",1988,11.3,3.8
Kurt Rambis,"CHH",1988,4.8,2.7
Blair Rasmussen,"DEN",1988,1.8,-0.9
Robert Reid,"CHH",1988,-0.1,-1.2
Jerry Reynolds,"SEA",1988,1.6,0.2
Mitch Richmond,"GSW",1988,5.6,1.3
Ramon Rivas,"BOS",1988,0,-0.1
David Rivers,"LAL",1988,0,-0.4
Doc Rivers,"ATL",1988,8.5,4.3
Fred Roberts,"MIL",1988,2,0.1
Alvin Robertson,"SAS",1988,4.4,3.3
Cliff Robinson,"PHI",1988,0.3,0
Dennis Rodman,"DET",1988,8.1,3.8
Tree Rollins,"CLE",1988,1,-0.1
Rob Rose,"LAC",1988,0,0
Scott Roth,"TOT",1988,0.1,-0.5
Jim Rowinski,"TOT",1988,0.1,0
Brian Rowsom,"CHH",1988,1.5,0.2
John Salley,"DET",1988,3.5,1.5
Ralph Sampson,"GSW",1988,1.1,-0.1
Mike Sanders,"CLE",1988,3.1,0.3
Danny Schayes,"DEN",1988,5.6,0.7
Russ Schoene,"SEA",1988,1.3,-0.1
Detlef Schrempf,"TOT",1988,4.4,1.2
Byron Scott,"LAL",1988,6.8,2.2
Rony Seikaly,"MIA",1988,-0.5,-1.8
Brad Sellers,"CHI",1988,2.6,0
Charles Shackleford,"NJN",1988,0.8,-0.1
John Shasky,"MIA",1988,1.9,-0.6
Brian Shaw,"BOS",1988,2.2,0.9
Purvis Short,"HOU",1988,1.4,-0.1
Jerry Sichting,"POR",1988,0.2,-0.3
Jack Sikma,"MIL",1988,8.1,3.7
Scott Skiles,"IND",1988,1.3,-0.7
Keith Smart,"SAS",1988,0,0
Charles Smith1,"LAC",1988,4,0.4
Derek Smith,"TOT",1988,0.9,-0.3
Kenny Smith,"SAC",1988,4.1,0.2
Larry Smith,"GSW",1988,3.7,1.2
Otis Smith,"GSW",1988,2.5,0.2
Rik Smits,"IND",1988,4.3,0.8
Mike Smrek,"SAS",1988,0.4,-0.4
Rory Sparrow,"MIA",1988,1.6,-0.6
John Starks,"GSW",1988,0,-0.2
Everette Stephens,"IND",1988,-0.4,-0.3
Brook Steppe,"POR",1988,0.6,0
John Stockton,"UTA",1988,15.6,5.5
Rod Strickland,"NYK",1988,3.7,0.9
John Stroeder,"TOT",1988,0,0
Barry Sumpter,"LAC",1988,0,0
Jon Sundvold,"MIA",1988,1,-1.1
Roy Tarpley,"DAL",1988,2,0.4
Anthony Taylor,"MIA",1988,0.2,-0.2
Terry Teagle,"GSW",1988,3.1,-0.1
Reggie Theus,"ATL",1988,5.9,1.8
Isiah Thomas,"DET",1988,7,3.1
Bernard Thompson,"HOU",1988,0,-0.2
Billy Thompson,"MIA",1988,2.8,1.3
LaSalle Thompson,"TOT",1988,4.4,0.4
Mychal Thompson,"LAL",1988,5.2,0.8
Bob Thornton,"PHI",1988,0.1,-0.4
Otis Thorpe,"HOU",1988,8.7,3.3
Sedale Threatt,"SEA",1988,3.4,0.8
Wayman Tisdale,"TOT",1988,5.9,0.8
Ray Tolbert,"ATL",1988,0,-0.2
Tom Tolbert,"CHH",1988,0.1,0
Sedric Toney,"IND",1988,-0.1,-0.1
Kelly Tripucka,"CHH",1988,3.3,1.2
Trent Tucker,"NYK",1988,4.6,1.4
Andre Turner,"MIL",1988,-0.1,0
Elston Turner,"DEN",1988,2.1,0.4
Terry Tyler,"DAL",1988,1.2,-0.4
Kelvin Upshaw,"TOT",1988,0.3,-0.4
Darnell Valentine,"CLE",1988,1.7,-0.2
Kiki Vandeweghe,"TOT",1988,2,-0.3
Jay Vincent,"TOT",1988,-0.3,-1
Sam Vincent,"CHI",1988,2.3,-0.4
Darrell Walker,"WSB",1988,3.7,2.5
Kenny Walker,"NYK",1988,2.7,0.2
Pearl Washington,"MIA",1988,0.5,-0.1
Spud Webb,"ATL",1988,2.2,0.1
Chris Welp,"PHI",1988,0.7,-0.3
Bill Wennington,"DAL",1988,1.3,-0.5
Mark West,"PHO",1988,5.5,2.1
Ennis Whatley,"LAC",1988,0,0
Clinton Wheeler,"TOT",1988,0.6,0
Eric White,"TOT",1988,0.5,-0.3
Jerome Whitehead,"TOT",1988,0.4,-0.7
Morlon Wiley,"DAL",1988,0.2,-0.1
Dominique Wilkins,"ATL",1988,10.4,3.5
Eddie Lee Wilkins,"NYK",1988,0.3,-1
Gerald Wilkins,"NYK",1988,4.3,0.9
Buck Williams,"NJN",1988,5.2,1
Herb Williams,"TOT",1988,1.4,0
Hot Rod Williams,"CLE",1988,7.7,2.4
John Williams,"WSB",1988,6.9,4
Kevin Williams,"TOT",1988,-0.1,-0.3
Micheal Williams,"DET",1988,-0.2,-0.4
Reggie Williams,"LAC",1988,0.4,-0.1
David Wingate,"PHI",1988,0.2,-0.2
Randy Wittman,"TOT",1988,0.7,-0.7
Joe Wolf,"LAC",1988,-0.5,-1.1
David Wood,"CHI",1988,0,0
Mike Woodson,"HOU",1988,3.5,0
Orlando Woolridge,"LAL",1988,3.3,-0.3
James Worthy,"LAL",1988,9.7,3.8
Danny Young,"POR",1988,1.8,0.1
Mark Acres,"ORL",1989,1.6,0
Michael Adams,"DEN",1989,6.9,2.5
Mark Aguirre,"DET",1989,5.7,1.3
Danny Ainge,"SAC",1989,4.8,2.5
Mark Alarie,"WSB",1989,3.1,0.5
Steve Alford,"DAL",1989,0.9,0.1
Randy Allen,"SAC",1989,0.2,-0.7
Greg Anderson,"MIL",1989,2,-0.9
Nick Anderson,"ORL",1989,1.8,0.1
Richard Anderson,"CHH",1989,1,0.3
Ron Anderson,"PHI",1989,3.8,0.2
Willie Anderson,"SAS",1989,6.5,2.4
Michael Ansley,"ORL",1989,3.3,0.1
B.J. Armstrong,"CHI",1989,1.7,-0.9
John Bagley,"BOS",1989,1.1,-0.6
