Year	Rd	Pk	Tm	Player
1979	1	19	SAS	Wiley Peck
1979	1	20	UTA	Larry Knight
1979	1	21	NYK	Sly Williams
1979	1	22	PHO	Kyle Macy
1979	2	23	UTA	Tico Brown
1979	2	24	PHO	Johnny High
1979	2	25	LAL	Ollie Mack
1979	2	26	CLE	Bruce Flowers
1979	2	27	NYK	Reggie Carter
1979	2	28	GSW	Danny Salisbury
1979	2	29	DET	Tony Price
1979	2	30	DEN	Gary Garland
1979	2	31	MIL	Edgar Jones
1979	2	32	IND	Tony Zeno
1979	2	33	CHI	Lawrence Butler
1979	2	34	NYK	Kim Goetz
1979	2	35	ATL	James Bradley
1979	2	36	PHI	Clint Richardson
1979	2	37	PHI	Bernard Toone
1979	2	38	ATL	Larry Wilson
1979	2	39	LAL	Victor King
1979	2	40	POR	Andrew Fields
1979	2	41	LAL	Mark Young
1979	2	42	HOU	Paul Mokeski
1979	2	43	SEA	Johnny Moore
1979	2	44	WSB	Joe DeSantis
1979	3	45	UTA	Arvid Kramer
1979	3	46	WSB	Andrew Parker
1979	3	47	CHI	Calvin Garrett
1979	3	48	DET	Terry Duerod
1979	3	49	CHI	Cedrick Hordges
1979	3	50	NYK	Geoff Huston
1980	1	1	GSW	Joe Barry Carroll
1980	1	2	UTA	Darrell Griffith
1980	1	3	BOS	Kevin McHale
1980	1	4	CHI	Kelvin Ransey
1980	1	5	DEN	James Ray
1980	1	6	NJN	Mike OKoren
1980	1	7	NJN	Mike Gminski
1980	1	8	PHI	Andrew Toney
1980	1	9	SDC	Michael Brooks
1980	1	10	POR	Ronnie Lester
1980	1	11	DAL	Kiki Vandeweghe
1980	1	12	NYK	Mike Woodson
1980	1	13	GSW	Rickey Brown
1980	1	14	WSB	Wes Matthews
1980	1	15	SAS	Reggie Johnson
1980	1	16	KCK	Hawkeye Whitney
1980	1	17	DET	Larry Drew
1980	1	18	ATL	Don Collins
1980	1	19	UTA	John Duren
1980	1	20	SEA	Bill Hanzlik
1980	1	21	PHI	Monti Davis
1980	1	22	CLE	Chad Kinch
1980	1	23	DEN	Carl Nicks
1980	2	24	GSW	Larry Smith
1980	2	25	GSW	Jeff Ruland
1980	2	26	CHI	Sam Worthen
1980	2	27	HOU	John Stroud
1980	2	28	ATL	Craig Shelton
1980	2	29	IND	Louis Orr
1980	2	30	IND	Kenny Natt
1980	2	31	LAL	Wayne Robinson
1980	2	32	POR	David Lawrence
1980	2	33	POR	Bruce Collins
1980	2	34	DAL	Roosevelt Bouie
1980	2	35	WSB	Rick Mahorn
1980	2	36	NYK	DeWayne Scales
1980	2	37	LAL	Butch Carter
1980	2	38	HOU	Terry Stotts
1980	2	39	SAS	Michael Wiley
1980	2	40	IND	Dick Miller
1980	2	41	DEN	Jawann Oldham
1980	2	42	PHO	Kimberly Belton
1980	2	43	HOU	Billy Williams
1980	2	44	PHI	Clyde Austin
1980	2	45	DET	Brad Branson
1980	2	46	BOS	Arnette Hallman
1980	3	47	DEN	Kurt Nimphius
1980	3	48	DEN	Eddie Lee
1980	3	49	GSW	John Virgil
1980	3	50	CHI	James Wilkes
1981	1	1	DAL	Mark Aguirre
1981	1	2	DET	Isiah Thomas
1981	1	3	NJN	Buck Williams
1981	1	4	ATL	Al Wood
1981	1	5	SEA	Danny Vranes
1981	1	6	CHI	Orlando Woolridge
1981	1	7	KCK	Steve Johnson
1981	1	8	SDC	Tom Chambers
1981	1	9	DAL	Rolando Blackman
1981	1	10	NJN	Albert King
1981	1	11	WSB	Frank Johnson
1981	1	12	DET	Kelly Tripucka
1981	1	13	UTA	Danny Schayes
1981	1	14	IND	Herb Williams
1981	1	15	POR	Jeff Lamp
1981	1	16	POR	Darnell Valentine
1981	1	17	KCK	Kevin Loder
1981	1	18	NJN	Ray Tolbert
1981	1	19	LAL	Mike McGee
1981	1	20	PHO	Larry Nance
1981	1	21	MIL	Alton Lister
1981	1	22	PHI	Franklin Edwards
1981	1	23	BOS	Charles Bradley
1981	2	24	DAL	Jay Vincent
1981	2	25	BOS	Tracy Jackson
1981	2	26	POR	Brian Jackson
1981	2	27	UTA	Howard Wood
1981	2	28	SAS	Gene Banks
1981	2	29	KCK	Eddie Johnson2
1981	2	30	SAS	Ed Rains
1981	2	31	BOS	Danny Ainge
1981	2	32	CHI	Mike Olliver
1981	2	33	GSW	Sam Williams
1981	2	34	DEN	Ken Green
1981	2	35	WSB	Charles Davis
1981	2	36	IND	Ray Blume
1981	2	37	IND	Al Leslie
1981	2	38	ATL	Clyde Bradshaw
1981	2	39	LAL	Harvey Knuckles
1981	2	40	NYK	Greg Cook
1981	2	41	WSB	Claude Gregory
1981	2	42	LAL	Elvis Rolle
1981	2	43	DAL	Elston Turner
1981	2	44	WSB	Steve Lingenfelter
1981	2	45	HOU	Ed Turner
1981	2	46	PHI	Vernon Smith
1981	3	47	DAL	Art Housey
1981	3	48	WSB	Mike Ferrara
1981	3	49	NJN	David Burns
